GEOMETRY

CURRENT_LOAD: 8.7789395895e+03
 COORDINATES 205
! NODE  X   Y   Z
    21    101    103    113    111    102    108    112    106    107
    22    103    105    115    113    104    110    114    108    109
    23    111    113    123    121    112    118    122    116    117
    24    113    115    125    123    114    120    124    118    119
    25    121    123    133    131    122    128    132    126    127
    26    123    125    135    133    124    130    134    128    129
    27    131    133    143    141    132    138    142    136    137
    28    133    135    145    143    134    140    144    138    139
    29    141    143    153    151    142    148    152    146    147
    30    143    145    155    153    144    150    154    148    149
    31    151    153    163    161    152    158    162    156    157
    32    153    155    165    163    154    160    164    158    159
    33    161    163    173    171    162    168    172    166    167
    34    163    165    175    173    164    170    174    168    169
    35    171    173    183    181    172    178    182    176    177
    36    173    175    185    183    174    180    184    178    179
    37    181    183    193    191    182    188    192    186    187
    38    183    185    195    193    184    190    194    188    189
    39    191    193    203    201    192    198    202    196    197
    40    193    195    205    203    194    200    204    198    199

    ELEMENT_MATERIAL

 *** NODE_VALUE ***
NODE    U    V
    1    4.3397020976e-16    2.6279779055e-15
    2    -4.2508772197e-16    3.4310321721e-16
    3    -2.6207591025e-16    -1.7702925804e-15
    4    -1.7133344392e-16    -4.3953894056e-15
    5    1.7626039615e-15    -7.4320780582e-15
    6    -1.0713288244e-03    -3.4254535677e-03
    7    8.6777354576e-05    -6.6024559921e-03
    8    1.7877242703e-03    -1.0404062239e-02
    9    4.4250990411e-03    -1.4457357616e-02
    10    9.1155547327e-03    -2.0825187136e-02
    11    4.7134758037e-03    -5.8678253678e-03
    12    6.0239921111e-03    -1.4024568693e-02
    13    8.5732984304e-03    -2.1608684771e-02
    14    1.2265024022e-02    -3.0191784493e-02
    15    1.6607829691e-02    -3.9585580507e-02
    16    1.5654965357e-02    -9.4775747469e-03
    17    1.7104161246e-02    -2.1898315454e-02
    18    1.9696262717e-02    -3.3471931984e-02
    19    2.3147562988e-02    -4.5386352754e-02
    20    2.7519240267e-02    -5.8416605071e-02
    21    3.0659037952e-02    -1.4335906780e-02
    22    3.2127503795e-02    -3.0437278468e-02
    23    3.4556763574e-02    -4.5290678727e-02
    24    3.7764416590e-02    -6.0339242294e-02
    25    4.1709962385e-02    -7.6730429130e-02
    26    4.8841125779e-02    -2.0752397986e-02
    27    5.0388722791e-02    -3.9704987328e-02
    28    5.2724207767e-02    -5.7245302023e-02
    29    5.5649835675e-02    -7.4883912634e-02
    30    5.9147473655e-02    -9.4073726930e-02
    31    6.9481001336e-02    -2.8686331574e-02
    32    7.1155337598e-02    -4.9832629145e-02
    33    7.3434568622e-02    -6.9344583164e-02
    34    7.6127792516e-02    -8.8927129357e-02
    35    7.9153777509e-02    -1.1025781801e-01
    36    9.1733407494e-02    -3.8380450003e-02
    37    9.3633564859e-02    -6.0837989715e-02
    38    9.5925369607e-02    -8.1582365862e-02
    39    9.8426439243e-02    -1.0236317561e-01
    40    1.0101466392e-01    -1.2492402484e-01
    41    1.1475961620e-01    -4.9716989358e-02
    42    1.1695385336e-01    -7.2721086125e-02
